chicken	닭고기	-	
mouse	쥐	-	
hair	털	-	
box	상자	-	
injection	주사	-	
ten thousand; only	만	-	
put up with; tolerate	참다	-	
veterinarian	수의사	-	
animal hospital	동물병원	-	
for a moment	잠시	-	
line	줄	-	
continuously	계속	-	
toothpaste	치약	-	
sole; paw; paws	발바닥	-	
tooth brushing	양치질	-	
mouth	입	-	
wine	와인	-	
end of the year	연말	-	
December	십이월	-	
invite	초대하다	-	
kitchen	주방	-	
ingredient	재료	-	
bakery	빵집	-	
balloon	풍선	-	
niece	조카	-	
fry	튀기다	-	
dries	마르다	-	
soup	수프	-	
potato	감자	-	
bowl	그릇	-	
board game	보드 게임	-	
mango	망고	-	
cookie	쿠키	-	
freeze	얼다	-	
Sleep	자다	-	
blanket	이불	-	
dance	춤	-	
new year	새해	-	
aunt	고모	-	
bouquet	꽃다발	-	
marriage; marriages	결혼	-	
rose	장미	-	
Shall; shall	을까요	-	
anniversary	기념일	-	
anniversary	주년	-	
should	까요	-	
scarf	스카프	-	
jewel	보석	-	
flower shop	꽃집	-	
earring	귀걸이	-	
very	아주	-	
taste	맛	-	
candle	초	-	
lobster	랍스터	-	
studio	스튜디오	-	
artist	화가	-	
couple	커플	-	
brush	붓	-	
is enough	충분하다	-	
frame	액자	-	
gradually	점점	-	
bookshelf	책장	-	
wall	벽	-	
senior	선배	-	
Monday	월요일	-	
will	을래요	-	
invitation	초대장	-	
event	행사	-	
fasten; fastened	매다	-	
jeans	청바지	-	
tie	넥타이	-	
would like to	래요	-	
DJ	디제이	-	
pop	팝	-	
gather	모이다	-	
enjoy; enjoying	즐기다	-	
shakes	흔들다	-	
middle	중간	-	
decline	거절하다	-	
demanding; hard; difficult	힘들다	-	
never	전혀	-	
invitation	초대	-	
there	저곳	-	
wish; hopes	바라다	-	
admission	입학	-	
CSAT	수능	-	
university	대학교	-	
the day before yesterday	그저께	-	
study	공부	-	
subject	과목	-	
confidence	자신	-	
high school	고등학교	-	
study room	독서실	-	
exam hall	시험장	-	
Korean	국어	-	
heater	히터	-	
concentration	집중	-	
trembling	떨리다	-	
fail	못하다	-	
especially	특히	-	
question	질문	-	
usual	평소	-	
sorry	죄송하다	-	
tear	눈물	-	
answer	답	-	
the most	가장	-	
think	생각	-	
past	옛날	-	
two days	이틀	-	
for	동안	-	
postnatal care center	조리원	-	
gate	대문	-	
enter	출입	-	
week	일주일	-	
seaweed soup	미역국	-	
how many days	며칠	-	
hundredth day	백일	-	
every	마다	-	
how	어떻게	-	
baby bottle	젖병	-	
party	잔치	-	
look	닮다	-	
laugh; smiles	웃다	-	
baeksulgi; baekseolgi	백설기	-	
personality	성격	-	
nose	코	-	
sleepy; feel sleepy; I am sleepy; I feel sleepy; is sleepy	졸리다	-	
rub; rubbing	비비다	-	
baby quilt	포대기	-	
want	고 싶다	-	
job	직업	-	
announcer	아나운서	-	
civil servant	공무원	-	
succeeds; succeed; succeeding	성공하다	-	
decides; decide; deciding	결정하다	-	
brother-in-law	매형	-	
program	프로그램	-	
dream	꿈	-	
various	여러 가지	-	
asked; ask; asks; asking	묻다	-	
goal	목표	-	
job opening	일자리	-	
led; lead	이끌다	-	
result	결과	-	
September	구월	-	
